"Generation","ID","Cost","Reach Outlet NO3 kg/yr","Reach Outlet Sediment tons/yr","Dominates","Dominated By"
0,13,2783558989.047730,189250.710042,20219.266637,0,0
0,19,2311553104.013847,107867.533485,22560.102302,0,0
0,14,29584075.878094,1920203.039522,24900.987149,22,0
0,18,1157104484.565465,134900.860414,20231.350505,6,0
0,15,59168151.756189,1190751.663904,17844.817939,20,0
0,1,0.000000,26257132.943071,590389.161074,0,0
0,35,6058078.818753,26257757.971064,582367.988979,0,0
0,17,579608983.583724,201841.669859,19043.449200,12,0
0,16,295840758.780943,347337.492926,18424.302095,18,0
0,21,16093882.910714,25967680.952520,427477.444282,1,0
0,20,16257733.912903,25933915.964016,468774.023710,0,0
0,12,1393107427.082405,306796.587289,32222.134478,1,2
0,8,35484149.441018,13116448.932349,37874.718104,18,1
0,24,32351616.823617,25967680.952520,427477.444282,0,2
0,11,697610454.842194,680318.037820,38801.210046,5,2
0,36,1474955527.859265,537730.144914,32952.531356,0,4
0,9,70968298.882036,9634030.962671,37847.449127,18,2
0,10,354841494.410179,1989928.312803,38673.440480,15,3
0,5,97368407.093881,25581105.748721,527330.097683,0,4
0,2,129024002.792365,25178448.826064,512709.529173,0,4
0,6,287674167.444767,25338783.658913,468521.946704,0,4
0,22,529517551.409357,17633304.519135,493627.456422,1,6
0,27,545611434.320072,17407913.905557,399970.533438,6,6
0,7,477876502.576014,25136074.557595,408726.491657,0,6
0,3,382640954.540218,24772456.956183,448181.574473,0,6
0,30,561869168.232975,17407913.905557,399970.533438,4,7
0,25,545775285.322261,17408908.379154,420516.444012,4,7
0,4,636154481.068434,24405420.688138,383991.462912,4,7
0,29,1195209197.711202,16266312.354174,494127.244134,0,9
0,33,1211303080.621914,16041569.861561,400127.761504,2,9
0,32,1211466931.624107,16052447.594677,420622.650221,0,10
0,34,1227560814.534821,16041569.861561,400127.761504,0,10
0,26,681949380.214747,24459393.295215,469135.423817,0,11
0,28,681785529.212559,24479736.201127,427589.298470,1,11
0,23,665691646.301845,24768859.303954,591174.388540,0,12
0,31,698043263.125461,24479736.201127,427589.298470,0,13
